2024-01-01.png: 626 outliers, Category: Extreme Deviation
2024-07-14.png: 45 outliers, Category: Moderate Deviation
2024-07-15.png: 127 outliers, Category: Extreme Deviation
2024-07-16.png: 34 outliers, Category: Moderate Deviation
2024-07-17.png: 82 outliers, Category: High Deviation
2024-07-18.png: 58 outliers, Category: High Deviation
2024-07-19.png: 407 outliers, Category: Extreme Deviation
2024-07-20.png: 26 outliers, Category: Moderate Deviation
2024-07-21.png: 511 outliers, Category: Extreme Deviation
2024-07-22.png: 132 outliers, Category: Extreme Deviation
2024-07-23.png: 45 outliers, Category: Moderate Deviation
2024-07-24.png: 54 outliers, Category: High Deviation
2024-07-25.png: 28 outliers, Category: Moderate Deviation
2024-07-26.png: 162 outliers, Category: Extreme Deviation
2024-07-27.png: 12 outliers, Category: Moderate Deviation
2024-07-28.png: 1 outliers, Category: Low Deviation
2024-07-29.png: 110 outliers, Category: Extreme Deviation
2024-07-30.png: 4 outliers, Category: Low Deviation
2024-07-31.png: 1 outliers, Category: Low Deviation
2024-08-01.png: 125 outliers, Category: Extreme Deviation
2024-08-02.png: 260 outliers, Category: Extreme Deviation
2024-08-03.png: 96 outliers, Category: High Deviation
2024-08-04.png: 16 outliers, Category: Moderate Deviation
2024-08-05.png: 66 outliers, Category: High Deviation
2024-08-06.png: 36 outliers, Category: Moderate Deviation
2024-08-07.png: 263 outliers, Category: Extreme Deviation
2024-08-08.png: 527 outliers, Category: Extreme Deviation
2024-08-09.png: 109 outliers, Category: Extreme Deviation
2024-08-10.png: 154 outliers, Category: Extreme Deviation
2024-08-11.png: 0 outliers, Category: Normal
2024-08-12.png: 78 outliers, Category: High Deviation
2024-08-13.png: 4 outliers, Category: Low Deviation
2024-08-14.png: 63 outliers, Category: High Deviation
2024-08-15.png: 10 outliers, Category: Low Deviation
2024-08-16.png: 105 outliers, Category: Extreme Deviation
2024-08-17.png: 512 outliers, Category: Extreme Deviation
2024-08-18.png: 0 outliers, Category: Normal
2024-08-19.png: 0 outliers, Category: Normal
2024-08-20.png: 1 outliers, Category: Low Deviation
2024-08-21.png: 1 outliers, Category: Low Deviation
2024-08-22.png: 1 outliers, Category: Low Deviation
2024-08-23.png: 32 outliers, Category: Moderate Deviation
2024-08-24.png: 31 outliers, Category: Moderate Deviation
2024-08-25.png: 40 outliers, Category: Moderate Deviation
2024-08-26.png: 496 outliers, Category: Extreme Deviation
2024-08-27.png: 5 outliers, Category: Low Deviation
2024-08-28.png: 434 outliers, Category: Extreme Deviation
2024-08-29.png: 22 outliers, Category: Moderate Deviation
2024-08-30.png: 117 outliers, Category: Extreme Deviation
2024-08-31.png: 133 outliers, Category: Extreme Deviation
2024-09-01.png: 88 outliers, Category: High Deviation
2024-09-02.png: 30 outliers, Category: Moderate Deviation
2024-09-03.png: 23 outliers, Category: Moderate Deviation
2024-09-04.png: 66 outliers, Category: High Deviation
2024-09-05.png: 137 outliers, Category: Extreme Deviation
2024-09-06.png: 23 outliers, Category: Moderate Deviation
2024-09-07.png: 8 outliers, Category: Low Deviation
2024-09-08.png: 19 outliers, Category: Moderate Deviation
2024-09-09.png: 51 outliers, Category: High Deviation
2024-09-10.png: 21 outliers, Category: Moderate Deviation
2024-09-11.png: 283 outliers, Category: Extreme Deviation
2024-09-12.png: 0 outliers, Category: Normal
2024-09-13.png: 0 outliers, Category: Normal
2024-09-14.png: 1 outliers, Category: Low Deviation
2024-09-15.png: 77 outliers, Category: High Deviation
2024-09-16.png: 165 outliers, Category: Extreme Deviation
2024-09-17.png: 11 outliers, Category: Moderate Deviation
2024-09-18.png: 0 outliers, Category: Normal
2024-09-19.png: 6 outliers, Category: Low Deviation
2024-09-20.png: 25 outliers, Category: Moderate Deviation
2024-09-21.png: 0 outliers, Category: Normal
2024-09-22.png: 300 outliers, Category: Extreme Deviation
2024-09-23.png: 1 outliers, Category: Low Deviation
2024-09-24.png: 21 outliers, Category: Moderate Deviation
2024-09-25.png: 13 outliers, Category: Moderate Deviation
2024-09-26.png: 158 outliers, Category: Extreme Deviation
2024-09-27.png: 0 outliers, Category: Normal
2024-09-28.png: 57 outliers, Category: High Deviation
2024-09-29.png: 0 outliers, Category: Normal
2024-09-30.png: 51 outliers, Category: High Deviation
2024-10-01.png: 237 outliers, Category: Extreme Deviation
2024-10-02.png: 1 outliers, Category: Low Deviation
2024-10-03.png: 10 outliers, Category: Low Deviation
2024-10-04.png: 1 outliers, Category: Low Deviation
2024-10-05.png: 16 outliers, Category: Moderate Deviation
2024-10-06.png: 122 outliers, Category: Extreme Deviation
2024-10-07.png: 408 outliers, Category: Extreme Deviation
2024-10-08.png: 13 outliers, Category: Moderate Deviation
2024-10-09.png: 50 outliers, Category: Moderate Deviation
2024-10-10.png: 0 outliers, Category: Normal
2024-10-11.png: 7 outliers, Category: Low Deviation
2024-10-12.png: 139 outliers, Category: Extreme Deviation
2024-10-13.png: 109 outliers, Category: Extreme Deviation
2024-10-14.png: 0 outliers, Category: Normal
2024-10-15.png: 58 outliers, Category: High Deviation
2024-10-16.png: 355 outliers, Category: Extreme Deviation
2024-10-17.png: 0 outliers, Category: Normal
2024-10-18.png: 57 outliers, Category: High Deviation
2024-10-19.png: 47 outliers, Category: Moderate Deviation
2024-10-20.png: 0 outliers, Category: Normal
2024-10-21.png: 0 outliers, Category: Normal
2024-10-22.png: 77 outliers, Category: High Deviation
2024-10-23.png: 123 outliers, Category: Extreme Deviation
2024-10-24.png: 0 outliers, Category: Normal
2024-10-25.png: 109 outliers, Category: Extreme Deviation
2024-10-26.png: 16 outliers, Category: Moderate Deviation
